ConsignDetailID,ConsignID,InvoiceNo,description,articleNo,article,weight,chargeWeight,rateType,rate,freight,InvoiceValue,GRNDate,GRNNo
392682,290581,NULL,Wooden Pallet,2,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392683,290581,NULL,Wooden Frams,4,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392684,290582,NULL,CASTING,3,7,NULL,397,Fixed,NULL,NULL,NULL,NULL,NULL
392685,290583,NULL,FLUID END CASTING,3,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392686,290584,NULL,Acmeklin MP-2500 IR,17,11,NULL,510,Fixed,NULL,NULL,NULL,NULL,NULL
392687,290585,NULL,ACMIN SLEEVE,95,324,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392688,290586,NULL,Acmeklin MP-1415,17,11,NULL,510,Fixed,NULL,NULL,NULL,NULL,NULL
392689,290587,NULL,Castings,18,7,NULL,1608,Fixed,NULL,NULL,NULL,NULL,NULL
392690,290588,NULL,Castings,3,7,NULL,92,Fixed,NULL,NULL,NULL,NULL,NULL
392691,290589,NULL,Castings,17,7,NULL,229,Fixed,NULL,NULL,NULL,NULL,NULL
392692,290590,NULL,Castings,4,7,NULL,166,Fixed,NULL,NULL,NULL,NULL,NULL
392693,290591,NULL,Castings,3,7,NULL,1118,Fixed,NULL,NULL,NULL,NULL,NULL
392694,290592,NULL,Castings,86,7,NULL,3217,Fixed,NULL,NULL,NULL,NULL,NULL
392695,290593,NULL,CASTINGS,1,8,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392696,290593,NULL,NULL,1,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392697,290594,NULL,SLEEVE,20,72,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392698,290595,NULL,HD SLEEVE,39,72,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392699,290596,NULL,SLEEVE,16,72,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392700,290597,NULL,BURNISHING TOOL,1,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392701,290598,NULL,KALMINEX 41 N200,10,72,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392702,290598,NULL,KALPAD 10,25,72,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392703,290598,NULL,KALMINEX 2000 PLUS,156,72,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392704,290599,NULL,SEDEX 40X40X15/20,5,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392705,290599,NULL,SEDEX 40X40X15/10,14,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392706,290600,NULL,SEDEX 40X40X15/20,5,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392707,290601,NULL,SEDEX 40X40X15/20,6,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392708,290601,NULL,RHEOTEC CAC (PLUS),4,11,NULL,110,Fixed,NULL,NULL,NULL,NULL,NULL
392709,290601,NULL,DYCOTE R 87,2,13,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
