RouteBillID,billNo,date,branch,customer,totalFreight,ExtraFC,ExtraOverload,ExtraStation,TollTax,Commission,localFreight,Detention,Closed,remark,DueDate,EmployeeID,LastEdited,Type,BillType,RTO,FreightPart,Discount,ServiceTax,total,grandTotal,cgst,cgstPercent,sgst,sgstPercent
17057,374,2023-10-05 14:41:05.000,1,1321,1165,0,0,0,0,0,0,0,0,,2023-10-20 14:41:05.000,5,NULL,1,1,0,0,0,0,1165,0,0,0,0,0
17058,375,2023-10-05 16:39:54.000,1,130,3720,0,0,0,0,0,0,0,0,,2023-10-20 16:39:54.000,5,NULL,1,1,0,0,0,0,3720,0,0,0,0,0
17059,376,2023-10-05 16:42:21.000,1,7856,14810,0,0,0,0,0,0,0,0,,2023-10-20 16:42:21.000,5,NULL,1,1,0,0,0,0,14810,0,0,0,0,0
17060,377,2023-10-05 15:10:25.000,1,6724,19695,0,0,0,0,0,0,0,0,,2023-10-20 15:10:25.000,2,NULL,1,1,0,0,0,0,19695,0,0,0,0,0
17061,378,2023-10-05 16:45:29.000,1,14901,4540,0,0,0,0,0,0,0,0,,2023-10-20 16:45:29.000,5,NULL,1,1,0,0,0,0,4540,0,0,0,0,0
17062,379,2023-10-05 16:46:43.000,1,5346,14689,0,0,0,0,0,0,0,0,,2023-10-20 16:46:43.000,5,NULL,1,1,0,0,0,0,14689,0,0,0,0,0
17063,380,2023-10-05 16:50:29.000,1,1289,23600,0,0,0,0,0,0,0,0,,2023-10-20 16:50:29.000,5,NULL,1,1,0,0,0,0,23600,0,0,0,0,0
17064,381,2023-10-05 13:11:02.000,1,1284,16105,0,0,0,0,0,0,0,0,,2023-10-20 13:11:02.000,5,NULL,1,1,0,0,0,0,16105,0,0,0,0,0
17065,382,2023-10-05 17:01:36.000,1,1173,5050,0,0,0,0,0,0,0,0,,2023-10-20 17:01:36.000,5,NULL,1,1,0,0,0,0,5050,0,0,0,0,0
17066,383,2023-10-05 17:02:36.000,1,8019,17714,0,0,0,0,0,0,0,0,,2023-10-20 17:02:36.000,5,NULL,1,1,0,0,0,0,17714,0,0,0,0,0
17067,384,2023-10-05 17:03:31.000,1,29938,420,0,0,0,0,0,0,0,0,,2023-10-20 17:03:31.000,5,NULL,1,1,0,0,0,0,420,0,0,0,0,0
17068,385,2023-10-05 17:05:02.000,1,5523,35,0,0,0,0,0,0,0,0,,2023-10-20 17:05:02.000,5,NULL,1,1,0,0,0,0,35,0,0,0,0,0
17069,386,2023-10-05 17:06:39.000,1,150,4335,0,0,0,0,0,0,0,0,,2023-10-20 17:06:39.000,5,NULL,1,1,0,0,0,0,4335,0,0,0,0,0
17070,387,2023-10-05 17:07:38.000,1,2688,480,0,0,0,0,0,0,0,0,,2023-10-20 17:07:38.000,5,NULL,1,1,0,0,0,0,480,0,0,0,0,0
17071,388,2023-10-05 17:08:26.000,1,45050,630,0,0,0,0,0,0,0,0,,2023-10-20 17:08:26.000,5,NULL,1,1,0,0,0,0,630,0,0,0,0,0
17072,389,2023-10-05 13:16:02.000,1,47741,1630,0,0,0,0,0,0,0,0,,2023-10-20 13:16:02.000,5,NULL,1,1,0,0,0,0,1630,0,0,0,0,0
17073,390,2023-10-05 17:10:52.000,1,48064,2170,0,0,0,0,0,0,0,0,,2023-10-20 17:10:52.000,5,NULL,1,1,0,0,0,0,2170,0,0,0,0,0
17074,391,2023-10-05 17:12:06.000,1,2962,540,0,0,0,0,0,0,0,0,,2023-10-20 17:12:06.000,5,NULL,1,1,0,0,0,0,540,0,0,0,0,0
17075,392,2023-10-05 17:12:50.000,1,2957,810,0,0,0,0,0,0,0,0,,2023-10-20 17:12:50.000,5,NULL,1,1,0,0,0,0,810,0,0,0,0,0
17076,393,2023-10-05 17:14:04.000,1,147,1270,0,0,0,0,0,0,0,0,,2023-10-20 17:14:04.000,5,NULL,1,1,0,0,0,0,1270,0,0,0,0,0
